County,incident_acres_burned,incident_longitude,incident_latitude,Date,ETo (in),Precip (in),Sol Rad (Ly/day),Avg Vap Pres (mBars),Max Air Temp (F),Min Air Temp (F),Max Rel Hum (%),Avg Wind Speed (mph),Wind Run (miles),Avg Soil Temp (F),Year,Population,Density,Land Area (mi),None,D0,D1,D2,D3,D4,Temp Difference,Avg Temperature (F),Wind Speed to Wind Run Ratio,Precip to Solar Rad Ratio,Weather Intensity,Dew Point,Month,Day
san diego,39.0,-116.891493,32.723389,2023-11-23,0.11,0.0,310.0,9.5,42.8,36.8,77.0,4.9,116.9,62.7,2023,3269973.0,776.7156769596199,4210.0,100.0,0.0,0.0,0.0,0.0,0.0,36.8,42.8,0.0419161676646706,0.0,124.70000000000002,38.2,11,23
san diego,13.0,-116.7986,32.5666,2023-12-05,0.11,0.0,325.0,7.9,48.475,37.15,55.0,5.0,119.0,60.4,2023,3269973.0,776.7156769596199,4210.0,100.0,0.0,0.0,0.0,0.0,0.0,37.15,48.475,0.042016806722689,0.0,108.475,39.475,12,5
riverside,65.0,-116.7635,33.9007,2023-12-09,0.12,0.0,304.0,3.1,39.95,33.099999999999994,44.0,5.4,128.4,53.8,2023,2492442.0,345.7403245942572,7209.0,83.12,16.88,0.0,0.0,0.0,0.0,33.099999999999994,39.95,0.0420560747663551,0.0,89.35000000000001,28.750000000000004,12,9
ventura,2715.0,-118.9938,34.327,2023-12-09,0.19,0.0,252.0,3.1,38.3,38.6,30.0,10.0,241.2,51.3,2023,829590.0,450.6192286800652,1841.0,100.0,0.0,0.0,0.0,0.0,0.0,38.6,38.3,0.0414593698175787,0.0,78.3,24.3,12,9
kern,181.0,-118.8696,35.5593,2023-12-15,0.07,0.0,265.0,6.8,43.025,13.049999999999995,90.0,3.0,70.8,53.6,2023,913820.0,112.3318992009834,8135.0,100.0,0.0,0.0,0.0,0.0,0.0,13.049999999999995,43.025,0.0423728813559322,0.0,136.025,41.025,12,15
san diego,50.0,-116.7718,32.6036,2023-12-21,0.09,0.0,207.0,11.6,41.325,42.45,85.0,5.3,128.2,59.2,2023,3269973.0,776.7156769596199,4210.0,100.0,0.0,0.0,0.0,0.0,0.0,42.45,41.325,0.0413416536661466,0.0,131.625,38.325,12,21
riverside,239.0,-115.82784,33.5103795,2024-02-20,0.0,1.42,58.0,13.1,29.575,49.75000000000001,96.0,3.1,75.3,55.7,2024,2510643.0,348.2650853100291,7209.0,92.31,7.69,0.0,0.0,0.0,0.0,49.75000000000001,29.575,0.0411686586985391,0.0244827586206896,130.095,28.775,2,20
monterey,11.0,-121.084104,35.81148,2024-02-27,0.12,0.0,438.0,9.9,38.325,27.65,91.0,5.2,124.0,53.0,2024,428562.0,130.57952468007312,3282.0,100.0,0.0,0.0,0.0,0.0,0.0,27.65,38.325,0.0419354838709677,0.0,134.52499999999998,36.525000000000006,2,27
inyo,104.0,-118.026767,36.316401,2024-04-03,0.21,0.0,625.0,6.0,47.425,9.049999999999995,84.0,4.9,116.8,49.5,2024,18312.0,1.7958223006766696,10197.0,99.71,0.29,0.0,0.0,0.0,0.0,9.049999999999995,47.425,0.0419520547945205,0.0,136.32500000000002,44.225,4,3
sacramento,172.5,-121.83332,38.05686,2024-04-12,0.17,0.0,516.0,10.5,38.75,43.9,73.0,4.5,108.3,63.5,2024,1584196.0,1641.6538860103626,965.0,100.0,0.0,0.0,0.0,0.0,0.0,43.9,38.75,0.0415512465373961,0.0,116.25,33.35,4,12
kern,241.0,-119.39529,35.153062,2024-04-12,0.25,0.0,636.0,13.1,52.925,34.85,92.0,6.9,165.7,66.8,2024,910889.0,111.9716041794714,8135.0,100.0,0.0,0.0,0.0,0.0,0.0,34.85,52.925,0.0416415208207604,0.0,151.82500000000002,51.325,4,12
yuba,18.0,-121.070752,39.494086,2024-04-21,0.22,0.0,642.0,12.9,48.475,38.35000000000001,74.0,3.9,94.5,68.3,2024,87091.0,137.8022151898734,632.0,100.0,0.0,0.0,0.0,0.0,0.0,38.35000000000001,48.475,0.0412698412698412,0.0,126.375,43.275,4,21
kings,181.0,-120.097738,35.817759,2024-04-21,0.23,0.0,638.0,12.3,52.425,31.05,86.0,4.4,105.5,61.1,2024,152377.0,109.5449317038102,1391.0,100.0,0.0,0.0,0.0,0.0,0.0,31.05,52.425,0.0417061611374407,0.0,142.82500000000002,49.62500000000001,4,21
fresno,475.0,-120.360998,36.730979,2024-04-26,0.21,0.0,481.0,9.7,43.45,37.3,79.0,9.2,221.2,66.9,2024,1018965.0,171.02467270896273,5958.0,100.0,0.0,0.0,0.0,0.0,0.0,37.3,43.45,0.0415913200723327,0.0,131.65,39.25,4,26
merced,12.0,-120.99063,37.020145,2024-04-30,0.2249999999999999,0.0,588.5,10.0,46.650000000000006,33.9,81.0,6.8,162.95,69.4,2024,293630.0,151.51186790505676,1938.0,100.0,0.0,0.0,0.0,0.0,0.0,33.9,46.650000000000006,0.0417305922061982,0.0,134.45000000000002,42.85000000000001,4,30
kern,1479.0,-119.33179,35.04847,2024-05-02,0.24,0.0,696.0,10.3,49.85,30.499999999999982,83.0,4.4,104.7,71.9,2024,910889.0,111.9716041794714,8135.0,100.0,0.0,0.0,0.0,0.0,0.0,30.499999999999982,49.85,0.0420248328557784,0.0,137.25,46.45,5,2
kern,13.0,-118.23,34.9117,2024-05-04,0.1,0.07,295.0,12.4,40.925,38.05,96.0,7.1,171.1,72.7,2024,910889.0,111.9716041794714,8135.0,100.0,0.0,0.0,0.0,0.0,0.0,38.05,40.925,0.0414962010520163,0.0002372881355932,144.095,40.12500000000001,5,4
riverside,14.0,-116.55819,33.858369,2024-05-04,0.08,0.01,298.0,13.7,35.375,48.95,96.0,3.7,89.2,65.2,2024,2510643.0,348.2650853100291,7209.0,92.44,7.56,0.0,0.0,0.0,0.0,48.95,35.375,0.0414798206278026,3.355704697986577e-05,135.08499999999998,34.575,5,4
placer,95.0,-121.201005,38.902253,2024-05-02,0.23,0.0,677.0,9.3,46.8,30.8,72.0,3.3,79.5,64.5,2024,429048.0,304.9381663113006,1407.0,100.0,0.0,0.0,0.0,0.0,0.0,30.8,46.8,0.0415094339622641,0.0,122.1,41.2,5,2
riverside,37.0,-116.807061,33.9208,2024-05-07,0.24,0.0,737.0,10.2,44.22500000000001,34.24999999999999,80.0,4.2,100.8,64.9,2024,2510643.0,348.2650853100291,7209.0,92.44,7.56,0.0,0.0,0.0,0.0,34.24999999999999,44.22500000000001,0.0416666666666666,0.0,128.425,40.22500000000001,5,7
riverside,40.0,-116.774124,33.903392,2024-05-07,0.24,0.0,737.0,10.2,44.22500000000001,34.24999999999999,80.0,4.2,100.8,64.9,2024,2510643.0,348.2650853100291,7209.0,92.44,7.56,0.0,0.0,0.0,0.0,34.24999999999999,44.22500000000001,0.0416666666666666,0.0,128.425,40.22500000000001,5,7
